Stream	Treatment	Segment	IND.	TOB	C.T	C.P	P.T	P.EST.	P.EVISC.	PesoTotal(item)	frag.Inseto	frag.InsetoAUT	diptera_Auto	Naucoridae	Coleoptera	Coleoptera_Gorgulho	frag.InsetoALO	Heteroptera_Auto	Hymenoptera	Demaptera	Formiga	Odonata	Frag.Vegetal
P32P22	PALMA	8	HM_46	453	23.15	19.65	0.07	0.00219	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Palm_20	PALMA	4	HM_36	138	24.6	16.57	0.08	0.01788	0.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P34F12	FLORESTA	9	HM_43	790	31.85	24.61	0.28	0.00989	0.202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Palm_12	PALMA	4	HM_19	628	35.27	29.46	0.28	0.00413	0.182	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P7F7	FLORESTA	7	HM_25	2005	37.17	31.64	0.35	0.01111	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PST-TA05	PASTO	7	HM_11	1793	42.28	34.65	0.45	0.01448	0.404	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P34F12	FLORESTA	2	HM_45	834	43.16	34.66	0.67	0.015	0.498	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P22F9	FLORESTA	9	HM_28	501	45.72	38.55	0.58	0.01217	0.469	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PST-TA04	PASTO	4	HM_05	1701	46.68	38.41	0.52	0.01349	0.476	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P34F12	FLORESTA	6	HM_41	773	47.15	38.4	0.85	0.02227	0.729	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P7F7	FLORESTA	7	HM_24	2005	47.65	41.13	0.90	0.02244	0.685	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P22F9	FLORESTA	9	HM_27	501	47.79	39.64	0.59	0.01079	0.484	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P2F2	FLORESTA	7	HM_07	2008	48.24	41.67	0.71	0.01389	0.632	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P23F10	FLORESTA	1	HM_36	560	53.49	44.97	0.92	0.01804	0.762	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P23F10	FLORESTA	1	HM_35	560	54.04	44.25	0.90	0.02017	0.794	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PST-TA06	PASTO	6	HM_19	1623	56.79	47.87	1.43	0.05242	1,261	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PST-TA05	PASTO	10	HM_13	1811	61.3	50.67	1.66	0.03289	1,499	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P22F9	FLORESTA	1	HM_31	502	63.59	53.15	2.24	0.03133	1,895	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P32P22	PALMA	8	HM_48	453	19.2	17.81	0.05	0.00182	0.032	0.00001	0	0	0	0	0	0	0.00001	0	0	0	0	0	0
P32P22	PALMA	9	HM_44	444	27.32	22.66	0.11	0.0028	0.072	0.00001	0	0	0	0	0	0	0	0	0	0	0.00001	0	0
Palm_16	PALMA	1	HM_24	766	35	28.75	0.23	0.00716	0.195	0.00001	0.00001	0	0	0	0	0	0	0	0	0	0	0	0
Palm_12	PALMA	8	HM_21	677	38.61	31.64	0.35	0.01568	0.294	0.00001	0	0	0	0	0	0	0	0	0	0	0.00001	0	0
Palm_10	PALMA	10	HM_12	598	53.4	45.74	1.29	0.01179	1,139	0.00001	0	0	0	0	0	0	0	0	0	0	0.00001	0	0
Palm_10	PALMA	9	HM_09	586	55.36	45.82	1.22	0.02808	1,080	0.00001	0	0	0	0	0	0	0.00001	0	0	0	0	0	0
PST-TA08	PASTO	7	HM_22	2134	56.59	48.04	1.13	0.02487	1,027	0.00001	0	0	0	0	0	0	0	0	0	0	0.00001	0	0
PST-TA06	PASTO	7	HM_17	1671	57.88	50.06	1.58	0.03866	1,407	0.00001	0	0	0	0	0	0	0	0	0	0	0.00001	0	0
Palm_12	PALMA	4	HM_16	628	68.15	56.77	1.81	0.0265	1,468	0.00001	0	0	0	0	0	0	0.00001	0	0	0	0	0	0
Palm_22	PALMA	2	HM_38	14	44.3	37.42	0.52	0.02941	0.426	0.00003	0.00003	0	0	0	0	0	0	0	0	0	0	0	0
PST-TA05	PASTO	10	HM_12	1811	59.88	50.03	1.66	0.04463	1,403	0.00003	0.00003	0	0	0	0	0	0	0	0	0	0	0	0
Palm_03	PALMA	3	HM_02	976	15.92	14.34	0.03	0.0036	0.017	0.00004	0.00004	0	0	0	0	0	0	0	0	0	0	0	0
Palm_16	PALMA	3	HM_22	741	41.98	35.37	0.44	0.01305	0.379	0.00004	0	0	0	0	0.00004	0	0	0	0	0	0	0	0
Palm_19	PALMA	8	HM_27	323	45.85	37.84	0.52	0.01151	0.405	0.00004	0.00004	0	0	0	0	0	0	0	0	0	0	0	0
PST-TA03	PASTO	5	HM_03	2020	55.22	45.58	0.77	0.04818	0.722	0.00005	0.00005	0	0	0	0	0	0	0	0	0	0	0	0
Palm_03	PALMA	1	HM_05	956	20.85	18.1	0.07	0.00818	0.046	0.00007	0.00007	0	0	0	0	0	0	0	0	0	0	0	0
Palm_19	PALMA	1	HM_28	258	44.99	37.34	0.53	0.01568	0.422	0.00007	0.00007	0	0	0	0	0	0	0	0	0	0	0	0
P6F6	FLORESTA	9	HM_18	2001	30.63	24.72	0.12	0.00387	0.094	0.0001	0	0.0001	0	0	0	0	0	0	0	0	0	0	0
P7F7	FLORESTA	10	HM_23	2000	30.93	25.21	0.12	0.00602	0.089	0.0001	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
P2F2	FLORESTA	7	HM_08	2008	34.18	29.77	0.21	0.00896	0.173	0.0001	0	0	0	0	0	0	0	0.0001	0	0	0	0	0
P7F7	FLORESTA	10	HM_26	2000	35.98	30.04	0.24	0.00885	0.184	0.0001	0	0	0	0	0	0	0	0	0	0	0.0001	0	0
P34F12	FLORESTA	9	HM_39	790	38.62	31.89	0.48	0.01317	0.368	0.0001	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
P35F13	FLORESTA	7	HM_49	521	40.58	32.87	0.34	0.01122	0.286	0.0001	0	0	0	0	0.0001	0	0	0	0	0	0	0	0
P34F12	FLORESTA	6	HM_40	773	41.94	33.58	0.59	0.01688	0.462	0.0001	0	0.0001	0	0	0	0	0	0	0	0	0	0	0
P34F12	FLORESTA	3	HM_44	831	42.31	32.71	0.61	0.02158	0.499	0.0001	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
P5F5	FLORESTA	5	HM_10	1620	42.37	35.63	0.45	0.01004	0.39	0.0001	0	0	0	0	0	0	0.0001	0	0	0	0	0	0
P6F6	FLORESTA	10	HM_16	2006	42.69	35.37	0.43	0.01415	0.307	0.0001	0	0	0	0	0.0001	0	0	0	0	0	0	0	0
P2F2	FLORESTA	2	HM_06	2004	43.33	35.73	0.45	0.00946	0.352	0.0001	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
P35F13	FLORESTA	7	HM_48	521	44.57	36.48	0.54	0.02372	0.406	0.0001	0	0.0001	0	0	0	0	0	0	0	0	0	0	0
P23F10	FLORESTA	1	HM_34	560	46.77	39.04	0.56	0.01414	0.477	0.0001	0	0	0	0	0.0001	0	0	0	0	0	0	0	0
P7F7	FLORESTA	6	HM_22	1998	48.22	40.88	0.39	0.00897	0.349	0.0001	0	0	0	0	0	0	0	0	0	0	0	0.0001	0
P2F2	FLORESTA	3	HM_04	2014	48.62	40.96	0.76	0.01595	0.618	0.0001	0	0	0	0	0	0	0	0.0001	0	0	0	0	0
P1F1	FLORESTA	2	HM_01	1402	49.21	37.84	0.82	0.02214	0.686	0.0001	0	0	0.0001	0	0	0	0	0	0	0	0	0	0
P7F7	FLORESTA	2	HM_21	2002	50.13	41.78	0.31	0.02012	0.304	0.0001	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
P5F5	FLORESTA	1	HM_11	1621	50.64	44.06	0.65	0.0154	0.559	0.0001	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
P22F9	FLORESTA	6	HM_33	503	50.75	42.93	0.84	0.02842	0.66	0.0001	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
P36F11	FLORESTA	9	HM_50	1121	51.85	42.9	0.72	0.01734	0.592	0.0001	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
P6F6	FLORESTA	10	HM_15	2006	52.05	43.23	0.95	0.03111	0.712	0.0001	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
P6F6	FLORESTA	1	HM_19	2007	52.4	43.67	0.79	0.01932	0.667	0.0001	0	0	0	0	0	0	0	0	0	0	0.0001	0	0
P6F6	FLORESTA	10	HM_17	2006	54.76	45.5	1.05	0.02692	0.842	0.0001	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
P5F5	FLORESTA	7	HM_13	1618	54.79	46.24	0.91	0.01969	0.753	0.0001	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
P22F9	FLORESTA	1	HM_30	496	56.74	47.7	1.36	0.02666	1,131	0.0001	0	0	0	0	0.0001	0	0	0	0	0	0	0	0
P22F9	FLORESTA	1	HM_29	496	57.88	48.63	1.33	0.02544	1,158	0.0001	0	0	0	0	0	0	0	0	0	0	0.0001	0	0
P23F10	FLORESTA	1	HM_38	560	59.22	51.4	1.45	0.03042	1,228	0.0001	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
P5F5	FLORESTA	9	HM_14	1619	59.68	50.9	1.35	0.0221	1,143	0.0001	0	0	0	0	0.0001	0	0	0	0	0	0	0	0
P5F5	FLORESTA	5	HM_09	1620	59.73	47.33	1.10	0.01231	0.968	0.0001	0	0	0	0	0.0001	0	0	0	0	0	0	0	0
P22F9	FLORESTA	6	HM_32	503	61.54	51.83	1.67	0.01937	1,476	0.0001	0	0	0	0	0	0	0	0	0	0	0.0001	0	0
P23F10	FLORESTA	1	HM_37	560	61.64	51.65	1.32	0.02075	1,073	0.0001	0	0	0	0	0	0	0	0	0	0	0.0001	0	0
Palm_16	PALMA	8	HM_25	703	51.12	43.48	0.89	0.02442	0.728	0.00012	0.00012	0	0	0	0	0	0	0	0	0	0	0	0
Palm_20	PALMA	2	HM_29	233	49.87	41.07	0.61	0.01357	0.389	0.00013	0.00013	0	0	0	0	0	0	0	0	0	0	0	0
Palm_10	PALMA	6	HM_08	596	62.42	52.1	1.53	0.0575	1,315	0.00013	0.00013	0	0	0	0	0	0	0	0	0	0	0	0
Palm_20	PALMA	2	HM_30	233	50.77	43.26	0.77	0.0196	0.464	0.00014	0	0	0	0	0	0	0	0	0	0	0.00014	0	0
Palm_03	PALMA	1	HM_04	956	40.82	34.2	0.48	0.02368	0.344	0.00015	0	0	0	0	0	0	0.00015	0	0	0	0	0	0
Palm_20	PALMA	3	HM_33	179	44.96	36.61	0.44	0.0155	0.348	0.00015	0.00015	0	0	0	0	0	0	0	0	0	0	0	0
Palm_16	PALMA	3	HM_23	741	38.07	32.07	0.32	0.01346	0.241	0.00016	0	0	0	0	0.00016	0	0	0	0	0	0	0	0
PST-TA06	PASTO	3	HM_14	1654	53.9	44.88	1.04	0.02429	0.934	0.00016	0.00016	0	0	0	0	0	0	0	0	0	0	0	0
Palm_20	PALMA	4	HM_35	138	21.88	13.6	0.06	0.01501	0.494	0.00017	0.00017	0	0	0	0	0	0	0	0	0	0	0	0
Palm_22	PALMA	4	HM_42	51	27.58	22.42	0.12	0.00522	0.071	0.00019	0.00019	0	0	0	0	0	0	0	0	0	0	0	0
P34F12	FLORESTA	5	HM_46	781	43.25	33.77	0.62	0.02174	0.473	0.0002	0	0	0	0	0	0	0	0	0	0	0	0.0002	0
P35F13	FLORESTA	7	HM_47	521	64.42	53.14	2.11	0.04615	1,676	0.0002	0.0002	0	0	0	0	0	0	0	0	0	0	0	0
P32P22	PALMA	3	HM_45	469	19.34	16.44	0.04	0.00203	0.02	0.00021	0.00021	0	0	0	0	0	0	0	0	0	0	0	0
P32P22	PALMA	8	HM_47	453	20.15	16.67	0.04	0.00289	0.023	0.00021	0	0	0	0	0	0	0.00021	0	0	0	0	0	0
Palm_12	PALMA	4	HM_20	628	36.83	30.06	0.23	0.00731	0.185	0.00021	0	0	0	0	0	0	0.00021	0	0	0	0	0	0
PST-TA04	PASTO	8	HM_07	1689	56.2	47.18	1.04	0.0203	0.94	0.00022	0.00022	0	0	0	0	0	0	0	0	0	0	0	0
Palm_22	PALMA	4	HM_41	51	40.43	32.82	0.40	0.01868	0.306	0.00023	0.00023	0	0	0	0	0	0	0	0	0	0	0	0
Palm_10	PALMA	6	HM_07	596	56.38	46.7	1.14	0.03479	0.944	0.00024	0	0	0	0	0.00024	0	0	0	0	0	0	0	0
Palm_22	PALMA	4	HM_40	51	31.45	26.18	0.18	0.00478	0.123	0.00033	0	0	0	0	0	0	0.00033	0	0	0	0	0	0
Palm_16	PALMA	8	HM_26	703	65.07	55.33	1.95	0.05313	1,592	0.00033	0	0	0	0	0	0	0	0	0	0	0.00033	0	0
