Stream	Treatment	IND.	TOB	C.T	C.P	P.T
Palm_03	PALMA	HM_02	976	15.92	14.34	0.03
Palm_20	PALMA	HM_34	179	17.47	10.54	0.05
P32P22	PALMA	HM_48	453	19.2	17.81	0.05
P32P22	PALMA	HM_45	469	19.34	16.44	0.04
Palm_03	PALMA	HM_01	976	19.38	16.74	0.04
P32P22	PALMA	HM_47	453	20.15	16.67	0.04
Palm_03	PALMA	HM_05	956	20.85	18.1	0.07
Palm_20	PALMA	HM_35	138	21.88	13.6	0.06
P32P22	PALMA	HM_50	428	22.31	18.77	0.07
P32P22	PALMA	HM_46	453	23.15	19.65	0.07
Palm_20	PALMA	HM_36	138	24.6	16.57	0.08
Palm_03	PALMA	HM_06	970	26.03	22.01	0.12
P32P22	PALMA	HM_44	444	27.32	22.66	0.11
Palm_22	PALMA	HM_42	51	27.58	22.42	0.12
Palm_10	PALMA	HM_10	586	29.35	24.69	0.14
P6F6	FLORESTA	HM_18	2001	30.63	24.72	0.12
P7F7	FLORESTA	HM_23	2000	30.93	25.21	0.12
Palm_22	PALMA	HM_40	51	31.45	26.18	0.18
P34F12	FLORESTA	HM_43	790	31.85	24.61	0.28
P34F12	FLORESTA	HM_42	790	34.12	27.05	0.33
P2F2	FLORESTA	HM_08	2008	34.18	29.77	0.21
Palm_16	PALMA	HM_24	766	35	28.75	0.23
Palm_12	PALMA	HM_19	628	35.27	29.46	0.28
P7F7	FLORESTA	HM_26	2000	35.98	30.04	0.24
Palm_12	PALMA	HM_20	628	36.83	30.06	0.23
P7F7	FLORESTA	HM_25	2005	37.17	31.64	0.35
P32P22	PALMA	HM_49	428	37.79	31.55	0.27
Palm_16	PALMA	HM_23	741	38.07	32.07	0.32
Palm_12	PALMA	HM_21	677	38.61	31.64	0.35
P34F12	FLORESTA	HM_39	790	38.62	31.89	0.48
Palm_03	PALMA	HM_03	956	40.41	33.62	0.43
Palm_22	PALMA	HM_41	51	40.43	32.82	0.40
